Paper Title;Year;Author;Citation;Publication;Url of paper;Summary;Field of Study;Location of Keyword;Type of Article;Removed;Notes
[PDF][PDF] Medicinal Plants in Ayurveda and Unani systems including Siddha in the Indian scenario;2023;I Lepcha;0;researchgate.net;https://www.researchgate.net/profile/Maheswari-Gopal/publication/377242410_Aloe_vera_In_Cancer_Medication_and_Assimilation_of_Radiation/links/659d35863c472d2e8ec1aef5/Aloe-vera-In-Cancer-Medication-and-Assimilation-of-Radiation.pdf#page=99;;Natural Sciences;Discussion;Research;N;
The influence of organizational culture and compensation on employee performance through job satisfaction Salaam Somali Bank At Mogadishu (SSB);2023;MA Nur;0;digilib.uinsgd.ac.id;https://digilib.uinsgd.ac.id/82886/;;Social Sciences;NA;Research;Y;
[PDF][PDF] The Effect of PC Put Together Learning with respect to Understudy Commitment and Accomplishment;2024;O Godwin;0;researchgate.net;https://www.researchgate.net/profile/Godwin-Olaoye/publication/376754858_The_Effect_of_PC_Put_Together_Learning_with_respect_to_Understudy_Commitment_and_Accomplishment/links/658628983c472d2e8e7b38d4/The-Effect-of-PC-Put-Together-Learning-with-respect-to-Understudy-Commitment-and-Accomplishment.pdf;;Social Sciences;Discussion;Research;N;
[PDF][PDF] Using AI-Powered Techniques in DevSecOps to Provide Sturdy Cloud Security;2024;S Daniel;0;researchgate.net;https://www.researchgate.net/profile/Samon-Daniel/publication/376682260_Using_AI-Powered_Techniques_in_DevSecOps_to_Provide_Sturdy_Cloud_Security/links/65835aa96f6e450f198d1046/Using-AI-Powered-Techniques-in-DevSecOps-to-Provide-Sturdy-Cloud-Security.pdf;;Social Sciences;Discussion;Research;N;
Achieving Unity amidst Diversity in Christian Doctrines Beliefs and Practices: An In-Depth Analysis;;CT Doyah;0;kampalajournals.ac.ug;https://www.kampalajournals.ac.ug/ojs/index.php/niuhums/article/view/1830;;Humanities;Discussion;Research;N;
Biology, Diversity, Distribution, and Characterization of Brevicoryne brassicae (L.) Cabbage;;AK Patel;0;scholar.sdpublishers.info;http://scholar.sdpublishers.info/id/eprint/3585/;;Natural Sciences;Discussion;Research;N;
[PDF][PDF] Legal Implications of AI in Healthcare: Liability and accountability in AI-assisted decision-making;2024;K Hubert;0;researchgate.net;https://www.researchgate.net/profile/Hubert-Klaus-2/publication/377852231_Legal_Implications_of_AI_in_Healthcare_Liability_and_accountability_in_AI-assisted_decision-making/links/65bb699b34bbff5ba7ddec8b/Legal-Implications-of-AI-in-Healthcare-Liability-and-accountability-in-AI-assisted-decision-making.pdf;;Natural Sciences;Introduction;Research;N;
Exploring key aspects: Structure, properties, production, and oil & gas applications of graphene and its nanoribbons− A comprehensive review;2023;WA Farag;0;Elsevier;https://www.sciencedirect.com/science/article/pii/S2949891023010035;;Applied Sciences;NA;Research;Y;
[PDF][PDF] The Impact of Computer-Based Learning on Student Engagement and Achievement;2024;S Joseph;0;researchgate.net;https://www.researchgate.net/profile/Shalom-Joseph/publication/376754412_The_Impact_of_Computer-Based_Learning_on_Student_Engagement_and_Achievement/links/658612366f6e450f1993e34d/The-Impact-of-Computer-Based-Learning-on-Student-Engagement-and-Achievement.pdf;;Applied Sciences;NA;Research;Y;
REVOLUTIONIZING LANGUAGE EDUCATION: THE IMPACT OF DIGITAL TECHNOLOGY ON TEACHING FOREIGN LANGUAGES;2024;K Dilora;0;uz-conference.com;https://uz-conference.com/index.php/p/article/view/180;;Humanities;Methodology;Research;N;
A dynamic and optimized routing approach for VANET communication in smart cities to secure intelligent transportation system via a chaotic multi-verse optimization …;2023;Sumit, RS;0;Springer;https://link.springer.com/article/10.1007/s10586-024-04322-9;;Applied Sciences;NA;Research;Y;
Intelligent Travel Companion: The IoT-Enabled Smart Bag;2023;KB Sk;0;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4741661;;Social Sciences;Discussion;Research;N;
Review of the Impact of Drip Irrigation Mulching on Soil Characteristics and Efficiency in Water Usage;;S Mishra;0;science.manuscript2send.com;http://science.manuscript2send.com/id/eprint/2706/;;Natural Sciences;Discussion;Research;N;
Efficient Detection of Crypto-Jacking Websites via Javascript Memory Heap Analysis;;SKR Gowrigari;0;ijnms.com;https://www.ijnms.com/index.php/ijnms/article/view/198;;Applied Sciences;Result;Research;N;
[PDF][PDF] Circular Economy and Sustainable Development: A Review and Research Agenda;;DP Dhinakaran;0;api.scienceweb.uz;https://api.scienceweb.uz/storage/publication_files/609/17402/6596caaca69c2___European+Economic+Letters4%20(1).pdf;;Social Sciences;Abstract;Research;N;
[PDF][PDF] NANOTECHNOLOGY IN AGRICULTURE: A PARADIGM SHIFT IN SUSTAINABLE FARMING;2023;PK SAHOO;0;bhumipublishing.com;https://www.bhumipublishing.com/wp-content/uploads/2024/02/Advances-in-Chemical-and-Biological-Sciences-Volume-II.pdf#page=10;;Natural Sciences;NA;Research;Y;
Application of a systematic approach to the evaluation of the efficiency of use resource potential of the transport enterprise;2023;M Korchaha;0;dspace.nau.edu.ua;https://dspace.nau.edu.ua/handle/NAU/62113;;Applied Sciences;Discussion;Research;N;
Circular Economy and Sustainable Development: A Review and Research Agenda;2023;B Sasikala;1;eelet.org.uk;https://eelet.org.uk/index.php/journal/article/view/635;;Social Sciences;Discussion;Research;N;
[PDF][PDF] SAUDI FAMILY-OWNED BUSINESS GENERATIONAL;2023;CM CHALHOUB;0;researchgate.net;https://www.researchgate.net/profile/Cesar-Chalhoub-2/publication/379670685_SAUDI_FAMILY-OWNED_BUSINESS_GENERATIONAL_SURVIVAL_DISSERTATION_SUBMITTED_TO_THE_UNIVERSITY_OF_BUSINESS_INNOVATION_AND_SUSTAINABILITY_GENEVE_IN_FULFILLMENT_OF_THE_REQUIREMENTS_FOR_THE_DEGREE_OF_DOCTOR_/links/66150d67f7d3fc28743d53ca/SAUDI-FAMILY-OWNED-BUSINESS-GENERATIONAL-SURVIVAL-DISSERTATION-SUBMITTED-TO-THE-UNIVERSITY-OF-BUSINESS-INNOVATION-AND-SUSTAINABILITY-GENEVE-IN-FULFILLMENT-OF-THE-REQUIREMENTS-FOR-THE-DEGREE-OF-DOCTOR.pdf;;Social Sciences;Result;Research;N;
[PDF][PDF] Geoenergy Science and Engineering;2023;WA Farag;0;researchgate.net;https://www.researchgate.net/profile/Wael-Farag/publication/374822826_Exploring_key_aspects_Structure_properties_production_and_oil_gas_applications_of_graphene_and_its_nanoribbons_-_A_comprehensive_review/links/6589a2346f6e450f19a3c6e5/Exploring-key-aspects-Structure-properties-production-and-oil-gas-applications-of-graphene-and-its-nanoribbons-A-comprehensive-review.pdf;;Natural Sciences;NA;Research;Y;
A Quantitative Study to Determine the Motivations, Perceptions, And Behaviours of Participants in the Adana Orange Blossom Carnival;2023;M ÇUHADAR;0;ijceas.com;http://ijceas.com/index.php/ijceas/article/view/664;;Humanities;Result;Research;N;
Impact of merger and acquisition in Nepali banking sector: A case study of Prabhu Bank;;S Bhattarai;0;elibrary.tucl.edu.np;https://elibrary.tucl.edu.np/handle/123456789/20852;;Social Sciences;Introduction;Research;N;
Advancements in solvent microextraction: Recent developments and diverse applications in the modern era;;P Rani;0;Library;https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/sscp.202300243;;Applied Sciences;Discussion;Research;N;
EFFECT OF SOCIAL MEDIA PLATFORMS'USE ON HOTEL PERFORMANCE IN STAR RATED HOTELS WITHIN UASIN GISHU COUNTY, KENYA;;LR ARUSHO;0;erepository.uoeld.ac.ke;http://erepository.uoeld.ac.ke/handle/123456789/2051;;Humanities;Discussion;Research;N;
[BOOK][B] Leisure, Recreation and Events in Hospitality and Tourism;2024;P Ganguly;0;books.google.com;https://books.google.com/books?hl=en&lr=&id=s9kFEQAAQBAJ&oi=fnd&pg=PT13&dq=%22As+of+my+last+knowledge+update%22+-%22ChatGPT%22&ots=dz4xq5GOUF&sig=OVHc-wDae3FBxVnMXE0ssn9C8xU;;Social Sciences;Introduction;Book;N;
[PDF][PDF] SOCIAL ECONOMIC DETERMINANTS OF ADOPTION OF FISH FARMING IN SIAYA COUNTY, KENYA;2013;AO OUMA;0;ir-library.ku.ac.ke;https://ir-library.ku.ac.ke/bitstream/handle/123456789/27393/Social%20Economic%20Determinants%20of%20Adoption....pdf?sequence=1;;Social Sciences;Discussion;Research;N;
[BOOK][B] 6G Technology and It's Applications;2023;D Kumar;1;books.google.com;https://books.google.com/books?hl=en&lr=&id=EoThEAAAQBAJ&oi=fnd&pg=PA1&dq=%22As+of+my+last+knowledge+update%22+-%22ChatGPT%22&ots=eiV61vwGil&sig=T11M9zJjSFQ0GQHl_jIqhnsFNgI;;Applied Sciences;Discussion;Research;N;
Zhejiang Normal University's Impact on the Local Community and Beyond;4622605;L Larsala;0;papers.ssrn.com;https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4622605;;Social Sciences;Discussion;Research;N;           
